분류,플러그인명,한 줄 설명,사용 상황,주요 기능,대표 스킬,계정 연결,비용/플랜,주의사항
Communication,Read AI,"Read AI을(를) 활용해 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Read AI 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 빌드/실행/배포 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.",없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Slack,Slack을(를) 활용해 커뮤니케이션을(를) Codex에서 처리하는 플러그인입니다.,커뮤니케이션이(가) 필요한 작업에서 Slack 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.,"조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: slack, slack-channel-summarization, slack-daily-digest, slack-notification-triage, slack-outgoing-message.","slack, slack-channel-summarization, slack-daily-digest, slack-notification-triage, slack-outgoing-message",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Superhuman Mail,"Superhuman Mail을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 메일 검색, 답장 초안 작성, 수신함 정리을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 메일 검색, 답장 초안 작성, 수신함 정리이(가) 필요한 작업에서 Superhuman Mail 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: batch-draft-writer, deal-tracker, eod-wrapup, meeting-scheduler, morning-briefing.","batch-draft-writer, deal-tracker, eod-wrapup, meeting-scheduler, morning-briefing",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Teams,Teams을(를) 활용해 커뮤니케이션을(를) Codex에서 처리하는 플러그인입니다.,커뮤니케이션이(가) 필요한 작업에서 Teams 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.,"조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: teams, teams-channel-summarization, teams-daily-digest, teams-messages, teams-notification-triage.","teams, teams-channel-summarization, teams-daily-digest, teams-messages, teams-notification-triage",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Zoom,"Zoom을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Zoom 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 빌드/실행/배포, 상호작용/화면 조작 중심. 대표 스킬: build-zoom-bot, build-zoom-contact-center-app, build-zoom-meeting-app, build-zoom-meeting-sdk-app, build-zoom-phone-integration.","build-zoom-bot, build-zoom-contact-center-app, build-zoom-meeting-app, build-zoom-meeting-sdk-app, build-zoom-phone-integration",필요 가능성 높음,외부 유료 플랜/API 과금 가능,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 외부 유료 플랜/API 과금 가능. 외부 앱/커넥터 인증이 필요할 수 있음
Creativity,BioRender,"BioRender을(를) 활용해 데이터 분석, KPI 진단, 리포트/대시보드 작성, 코드 저장소, 배포, 데이터베이스, 개발 워크플로을(를) Codex에서 처리하는 플러그인입니다.","데이터 분석, KPI 진단, 리포트/대시보드 작성, 코드 저장소, 배포, 데이터베이스, 개발 워크플로이(가) 필요한 작업에서 BioRender 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작성/수정/생성 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Creativity,Canva,"Canva을(를) 활용해 문서, 표, 발표자료, 파일 기반 작업, 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","문서, 표, 발표자료, 파일 기반 작업, 이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 Canva 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성 중심. 대표 스킬: canva-branded-presentation, canva-resize-for-all-social-media, canva-translate-design.","canva-branded-presentation, canva-resize-for-all-social-media, canva-translate-design",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Creativity,Creative Production,"Creative Production을(를) 활용해 이미지, 영상, 미디어, 디자인 콘텐츠 제작, 시장/기업/투자 분석, 재무 데이터 검토을(를) Codex에서 처리하는 플러그인입니다.","이미지, 영상, 미디어, 디자인 콘텐츠 제작, 시장/기업/투자 분석, 재무 데이터 검토이(가) 필요한 작업에서 Creative Production 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","작성/수정/생성, 빌드/실행/배포, 상호작용/화면 조작 중심. 대표 스킬: ads-explorer, explore, generative-polish, logo-explorer, moodboard-explorer.","ads-explorer, explore, generative-polish, logo-explorer, moodboard-explorer",불필요,Codex 기능 범위 내,계정 연결 없이 로컬/번들 기능 중심으로 사용 가능. 비용/플랜: Codex 기능 범위 내. 서비스 정책 및 권한 확인 필요
Creativity,Fal,"Fal을(를) 활용해 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 Fal 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.",없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Creativity,Figma,"Figma을(를) 활용해 디자인 구현, Figma 연동, UI/UX 산출물 작업을(를) Codex에서 처리하는 플러그인입니다.","디자인 구현, Figma 연동, UI/UX 산출물 작업이(가) 필요한 작업에서 Figma 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: figma-code-connect, figma-create-new-file, figma-generate-design, figma-generate-diagram, figma-generate-library.","figma-code-connect, figma-create-new-file, figma-generate-design, figma-generate-diagram, figma-generate-library",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 중복 캐시 항목: openai-curated\figma\43313cc9
Creativity,Figma,"Figma을(를) 활용해 디자인 구현, Figma 연동, UI/UX 산출물 작업을(를) Codex에서 처리하는 플러그인입니다.","디자인 구현, Figma 연동, UI/UX 산출물 작업이(가) 필요한 작업에서 Figma 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: figma-code-connect, figma-create-new-file, figma-generate-design, figma-generate-diagram, figma-generate-library.","figma-code-connect, figma-create-new-file, figma-generate-design, figma-generate-diagram, figma-generate-library",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 중복 캐시 항목: openai-curated-remote\figma\2.0.9
Creativity,HeyGen,"HeyGen을(를) 활용해 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 HeyGen 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성 중심. 대표 스킬: heygen-avatar, heygen-video.","heygen-avatar, heygen-video",필요 가능성 높음,외부 유료 플랜/API 과금 가능,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 외부 유료 플랜/API 과금 가능. 외부 앱/커넥터 인증이 필요할 수 있음 / 배포/클라우드 사용량 과금 가능
Creativity,HyperFrames by HeyGen,"HyperFrames by HeyGen을(를) 활용해 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 HyperFrames by HeyGen 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성 중심. 대표 스킬: gsap, hyperframes, hyperframes-cli, hyperframes-registry, website-to-hyperframes.","gsap, hyperframes, hyperframes-cli, hyperframes-registry, website-to-hyperframes",확인 필요,확인 필요,확인 필요; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 서비스 정책 및 권한 확인 필요
Creativity,Picsart,"Picsart을(를) 활용해 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 Picsart 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작성/수정/생성 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Creativity,Product Design,"Product Design을(를) 활용해 디자인 구현, Figma 연동, UI/UX 산출물 작업, 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","디자인 구현, Figma 연동, UI/UX 산출물 작업, 이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 Product Design 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: audit, design-qa, get-context, ideate, image-to-code.","audit, design-qa, get-context, ideate, image-to-code",불필요,Codex 기능 범위 내,계정 연결 없이 로컬/번들 기능 중심으로 사용 가능. 비용/플랜: Codex 기능 범위 내. 배포/클라우드 사용량 과금 가능
